capture_ts,slot,auditor_id,drop_point_id,platform,account_state,subscription_active,restaurant_name,restaurant_listed,restaurant_open,basket_id,item_list,item_match_quality,menu_subtotal,packaging_fee,platform_fee,delivery_fee,small_cart_fee,surge_rain_fee,taxes_gst,discount_amount,discount_type,final_payable,eta_min_shown,eta_max_shown,screenshot_file,notes
,thu_lunch,B,DP1,ownly,new,NA,Shah Ghouse,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R4.png,groupA
,thu_lunch,B,DP1,swiggy,existing,y,Shah Ghouse,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R4.png,groupA
,thu_lunch,B,DP1,zomato,existing,y,Shah Ghouse,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R4.png,groupA
,thu_lunch,B,DP1,ownly,new,NA,Murgan Tiffins,y,,B3,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R5.png,groupB
,thu_lunch,B,DP1,swiggy,existing,y,Murgan Tiffins,y,,B3,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R5.png,groupB
,thu_lunch,B,DP1,zomato,existing,y,Murgan Tiffins,y,,B3,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R5.png,groupB
,thu_lunch,B,DP1,ownly,new,NA,Aanimuthyualu unlimited,y,,B3,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R6.png,groupB
,thu_lunch,B,DP1,swiggy,existing,y,Aanimuthyualu unlimited,y,,B3,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R6.png,groupB
,thu_lunch,B,DP1,zomato,existing,y,Aanimuthyualu unlimited,y,,B3,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R6.png,groupB
,thu_lunch,B,DP1,ownly,new,NA,Mehfil,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R7.png,groupB
,thu_lunch,B,DP1,swiggy,existing,y,Mehfil,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R7.png,groupB
,thu_lunch,B,DP1,zomato,existing,y,Mehfil,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R7.png,groupB
,thu_lunch,B,DP1,ownly,new,NA,Karachi Bakery,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R8.png,groupB
,thu_lunch,B,DP1,swiggy,existing,y,Karachi Bakery,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R8.png,groupB
,thu_lunch,B,DP1,zomato,existing,y,Karachi Bakery,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R8.png,groupB
,thu_lunch,B,DP1,ownly,new,NA,KFC,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R9.png,groupC
,thu_lunch,B,DP1,swiggy,existing,y,KFC,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R9.png,groupC
,thu_lunch,B,DP1,zomato,existing,y,KFC,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R9.png,groupC
,thu_lunch,B,DP1,ownly,new,NA,Domino's,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R10.png,groupC
,thu_lunch,B,DP1,swiggy,existing,y,Domino's,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R10.png,groupC
,thu_lunch,B,DP1,zomato,existing,y,Domino's,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R10.png,groupC
